Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PFS,ORB,DRB,REB,AST,STL,BLK,PTS
Golden State,82,48.1,42.8,85.1,0.5,11.3,28.9,0.39,16.6,20.3,0.81,15.6,19.6,8.4,35.1,43.5,29.3,8.0,7.5,113.5
Houston,82,48.2,38.7,84.2,0.46,15.3,42.3,0.36,19.6,25.1,0.78,14.1,19.5,9.0,34.5,43.5,21.5,8.5,4.8,112.4
New Orleans,82,48.7,42.7,88.3,0.48,10.2,28.2,0.36,16.1,20.9,0.77,15.2,19.1,8.7,35.7,44.4,26.8,8.0,5.9,111.7
Toronto,82,48.4,41.3,87.4,0.47,11.8,33.0,0.36,17.3,21.8,0.79,13.6,21.7,9.8,34.2,44.0,24.3,7.6,6.1,111.7
Cleveland,82,48.1,40.4,84.8,0.48,12.0,32.1,0.37,18.1,23.3,0.78,13.9,18.6,8.5,33.7,42.1,23.4,7.1,3.8,110.9
Denver,82,48.5,40.7,86.6,0.47,11.5,30.9,0.37,17.1,22.3,0.77,15.0,18.7,11.0,33.5,44.5,25.1,7.6,4.9,110.0
Philadelphia,82,48.2,40.8,86.6,0.47,11.0,29.8,0.37,17.1,22.8,0.75,16.8,22.1,10.9,36.5,47.4,27.1,8.3,5.1,109.8
Minnesota,82,48.3,41.0,86.1,0.48,8.0,22.5,0.36,19.4,24.1,0.8,12.5,18.2,10.3,31.6,42.0,22.7,8.4,4.2,109.5
L.A. Clippers,82,48.1,40.3,85.4,0.47,9.5,26.8,0.35,19.0,25.5,0.74,14.8,20.0,10.1,33.7,43.9,22.3,7.7,4.5,109.0
Charlotte,82,48.2,39.0,86.7,0.45,10.0,27.2,0.37,20.2,27.0,0.75,12.9,17.2,10.1,35.4,45.5,21.6,6.8,4.5,108.2
L.A. Lakers,82,48.5,40.7,88.4,0.46,10.0,29.1,0.34,16.6,23.3,0.71,16.0,21.2,10.7,35.7,46.4,23.8,7.7,4.7,108.1
Oklahoma City,82,48.4,39.9,88.1,0.45,10.7,30.4,0.35,17.3,24.2,0.72,14.1,20.1,12.5,32.6,45.1,21.3,9.1,5.0,107.9
Washington,82,48.4,39.9,85.6,0.47,9.9,26.5,0.38,16.8,21.8,0.77,14.7,21.3,10.0,33.1,43.1,25.2,7.9,4.3,106.6
Brooklyn,82,48.4,38.2,86.8,0.44,12.7,35.7,0.36,17.4,22.6,0.77,15.3,20.6,9.7,34.8,44.4,23.7,6.2,4.8,106.6
Milwaukee,82,48.4,39.7,83.0,0.48,8.8,24.7,0.35,18.3,23.4,0.78,13.8,21.4,8.4,31.5,39.8,23.2,8.8,5.4,106.5
Portland,82,48.2,39.3,87.0,0.45,10.3,28.1,0.37,16.7,20.9,0.8,13.7,19.5,10.2,35.3,45.5,19.5,7.0,5.2,105.6
Indiana,82,48.2,40.8,86.4,0.47,9.0,24.5,0.37,14.9,19.2,0.78,13.6,18.8,9.6,32.7,42.3,22.2,8.8,4.1,105.6
New York,82,48.4,40.7,87.7,0.46,8.2,23.3,0.35,14.9,19.0,0.79,14.8,20.5,10.5,33.6,44.0,23.3,6.7,5.1,104.5
Utah,82,48.2,38.3,82.9,0.46,10.8,29.6,0.37,16.8,21.5,0.78,14.7,19.6,9.0,34.2,43.3,22.4,8.6,5.1,104.1
Boston,82,48.3,38.3,85.1,0.45,11.5,30.4,0.38,16.0,20.7,0.77,14.4,19.7,9.4,35.1,44.5,22.5,7.4,4.6,104.0
Phoenix,82,48.1,38.5,87.1,0.44,9.3,27.9,0.33,17.7,23.9,0.74,15.9,22.0,10.3,33.9,44.1,21.3,6.9,4.5,103.9
Detroit,82,48.3,39.1,86.9,0.45,10.8,28.9,0.37,14.7,19.8,0.74,13.6,18.4,10.1,33.6,43.7,22.8,7.7,3.9,103.8
Miami,82,48.6,38.8,85.3,0.46,11.0,30.6,0.36,14.7,19.5,0.76,14.5,20.1,9.3,34.2,43.5,22.7,7.6,5.3,103.4
Orlando,82,48.1,38.8,85.9,0.45,10.3,29.3,0.35,15.5,20.5,0.76,14.5,19.3,8.8,32.8,41.6,23.4,7.6,4.9,103.4
Atlanta,82,48.1,38.2,85.5,0.45,11.2,31.0,0.36,15.8,20.2,0.79,15.9,19.6,9.0,32.8,41.9,23.7,7.8,4.2,103.4
Chicago,82,48.4,38.7,88.9,0.43,11.0,31.1,0.35,14.6,19.2,0.76,14.4,19.2,9.6,35.0,44.7,23.5,7.6,3.5,102.9
San Antonio,82,48.1,39.0,85.4,0.46,8.5,24.1,0.35,16.1,20.9,0.77,13.2,17.2,10.4,33.9,44.2,22.8,7.7,5.6,102.7
Dallas,82,48.3,38.1,85.9,0.44,11.8,32.8,0.36,14.2,18.7,0.76,12.4,19.2,8.1,33.1,41.3,22.7,7.0,3.8,102.3
Memphis,82,48.1,36.7,82.8,0.44,9.2,26.2,0.35,16.6,21.1,0.79,15.3,23.2,9.5,31.0,40.5,21.5,7.5,4.8,99.3
Sacramento,82,48.2,38.8,86.1,0.45,9.0,24.0,0.38,12.3,16.7,0.73,13.9,20.0,9.5,31.4,40.9,21.6,7.9,4.1,98.8
