Team,TS%,eFG%,oREB%,dREB%,tREB%,AST%,TOV%,STL%,BLK%,PPS,oRAT,dRAT,eDIF,POS,PACE
Houston,0.59,0.55,21.3,79.9,50.8,55.7,12.9,8.7,8.4,1.3,114.5,105.9,8.6,8044.9,97.7
Toronto,0.57,0.54,23.0,77.7,50.9,59.0,12.3,7.8,10.1,1.3,113.6,105.7,7.9,8061.5,97.6
Golden State,0.6,0.57,21.0,76.3,50.6,68.5,14.3,8.0,12.3,1.3,113.5,107.5,6.0,8198.6,99.7
Utah,0.56,0.53,21.5,79.8,51.0,58.6,13.7,9.0,9.0,1.3,108.4,103.9,4.5,7877.8,95.7
Philadelphia,0.57,0.54,25.3,78.6,52.9,66.3,14.8,8.2,8.8,1.3,109.2,104.7,4.5,8247.7,100.1
Boston,0.55,0.52,21.5,78.4,50.3,58.6,13.2,7.6,8.0,1.2,107.2,103.5,3.7,7955.8,96.4
Oklahoma City,0.55,0.51,27.7,77.4,51.7,53.5,12.5,9.3,9.4,1.2,110.5,107.0,3.5,8004.9,96.9
San Antonio,0.54,0.51,23.7,78.6,51.0,58.3,12.3,8.0,9.7,1.2,107.7,104.7,3.0,7820.5,95.1
Portland,0.55,0.51,23.3,79.1,51.4,49.6,12.5,7.2,8.7,1.2,108.9,106.2,2.7,7951.6,96.6
Minnesota,0.57,0.52,24.4,76.4,50.1,55.3,11.5,8.7,7.6,1.3,113.2,110.9,2.3,7933.3,96.1
Denver,0.57,0.54,25.7,77.5,51.7,61.7,13.5,7.8,8.5,1.3,112.3,110.8,1.5,8028.9,96.9
Indiana,0.56,0.53,22.7,76.2,49.6,54.4,12.5,9.1,7.6,1.2,109.0,107.6,1.4,7938.5,96.4
New Orleans,0.57,0.54,20.0,76.7,49.4,62.7,13.5,7.8,9.6,1.3,109.2,108.0,1.3,8386.9,100.9
Cleveland,0.58,0.55,20.1,77.2,49.1,57.9,12.8,7.2,6.7,1.3,112.7,111.7,1.0,8067.2,98.1
Washington,0.56,0.53,23.5,77.1,50.3,63.1,13.4,8.0,7.8,1.2,109.1,108.5,0.6,8009.9,96.8
Miami,0.55,0.52,21.5,79.0,50.2,58.5,13.4,7.8,9.3,1.2,106.6,106.2,0.5,7951.5,95.8
Charlotte,0.55,0.51,22.2,80.7,51.0,55.4,11.6,6.9,7.9,1.2,109.2,108.9,0.3,8127.8,98.6
L.A. Clippers,0.56,0.53,23.5,76.1,50.2,55.5,13.3,7.8,7.9,1.3,110.1,110.1,0.0,8113.5,98.8
Detroit,0.54,0.51,22.7,78.5,50.0,58.2,12.4,7.9,7.1,1.2,107.0,107.1,-0.2,7952.4,96.4
Milwaukee,0.57,0.53,20.4,75.9,48.3,58.5,12.9,9.1,9.6,1.3,109.8,110.1,-0.3,7950.5,96.2
L.A. Lakers,0.55,0.52,23.6,77.7,50.9,58.4,14.0,7.6,7.9,1.2,106.3,107.9,-1.5,8333.2,100.5
Dallas,0.54,0.51,18.0,78.9,47.4,59.4,11.7,7.3,7.0,1.2,106.2,109.3,-3.2,7901.3,95.7
New York,0.54,0.51,24.1,76.7,50.5,57.3,13.4,6.9,9.2,1.2,106.9,110.5,-3.6,8013.4,97.0
Brooklyn,0.55,0.51,21.0,77.0,48.7,61.9,13.7,6.3,7.3,1.2,106.7,110.4,-3.7,8192.1,99.0
Orlando,0.55,0.51,20.0,75.6,47.6,60.4,13.3,7.7,8.1,1.2,105.2,110.1,-4.9,8059.7,98.0
Atlanta,0.55,0.51,21.0,76.2,48.6,62.2,14.4,7.9,7.6,1.2,104.7,110.2,-5.5,8096.6,98.6
Memphis,0.54,0.5,22.4,76.5,48.8,58.6,14.2,7.9,9.4,1.2,104.1,110.6,-6.5,7822.9,95.3
Chicago,0.53,0.5,20.6,80.6,49.5,60.7,12.9,7.7,6.5,1.2,103.4,110.4,-7.1,8165.3,98.7
Sacramento,0.53,0.5,21.5,77.6,48.3,55.6,12.9,8.3,8.1,1.1,103.5,110.9,-7.3,7827.0,95.1
Phoenix,0.53,0.49,22.5,76.5,49.0,55.3,14.0,6.9,7.6,1.2,103.3,112.7,-9.3,8246.1,100.4
